titles,links
A nonsense mutation in the COL7A1 gene causes epidermolysis bullosa in Vorderwald cattle,http://biorxiv.org/content/early/2016/09/23/062968
"Tissue Resolved, Gene Structure Refined Equine Transcriptome",http://biorxiv.org/content/early/2016/09/23/061952
Genomic analyses for age at menarche identify 389 independent signals and indicate BMI-independent effects of puberty timing on cancer susceptibility,http://biorxiv.org/content/early/2016/09/23/076794
Biophysical Attributes of CpG Presentation Control TLR9 Signaling to Differentially Polarize Systemic Immune-Responses,http://biorxiv.org/content/early/2016/09/23/076935
Host-induced gene silencing compromises Verticillium wilt in tomato and Arabidopsis,http://biorxiv.org/content/early/2016/09/23/076976
A structural variant in the 5′-flanking region of the TWIST2 gene affects melanocyte development in belted cattle,http://biorxiv.org/content/early/2016/09/23/077065
Detecting large-scale networks in the human brain using high-density electroencephalography,http://biorxiv.org/content/early/2016/09/23/077107
Knock-In of a 25-Kilobase Pair BAC-Derived Donor Molecule by Traditional and CRISPR/Cas9-Stimulated Homologous Recombination,http://biorxiv.org/content/early/2016/09/23/076612
Harnessing Big Data for Systems Pharmacology,http://biorxiv.org/content/early/2016/09/23/077115
Identifying the Species Threat Hotspots from Global Supply Chains,http://biorxiv.org/content/early/2016/09/23/076869
Identifying the Species Threat Hotspots from Global Supply Chains,http://biorxiv.org/content/early/2016/09/23/076869
Neuroprotective strategies for NMDAR-mediated excitotoxicity in Huntington's Disease,http://biorxiv.org/content/early/2016/09/23/076885
Comparative analysis of 2D and 3D distance measurements to study spatial genome organization,http://biorxiv.org/content/early/2016/09/23/076893
NODDI-DTI: extracting neurite orientation and dispersion parameters from a diffusion tensor,http://biorxiv.org/content/early/2016/09/23/077099
Choice of reference genome can introduce massive bias in bisulfite sequencing data,http://biorxiv.org/content/early/2016/09/22/076844
SiLiCO: A Simulator of Long Read Sequencing in PacBio and Oxford Nanopore,http://biorxiv.org/content/early/2016/09/22/076901
dbOTU3: A new implementation of distribution-based OTU calling,http://biorxiv.org/content/early/2016/09/22/076927
PEMapper / PECaller: A simplified approach to whole-genome sequencing,http://biorxiv.org/content/early/2016/09/22/076968
Widespread allelic heterogeneity in complex traits,http://biorxiv.org/content/early/2016/09/22/076984
Genetic indicators of drug resistance in the highly repetitive genomes of Trichomonas vaginalis and other trichomonads,http://biorxiv.org/content/early/2016/09/22/076729
The human thalamus is an integrative hub for functional brain networks,http://biorxiv.org/content/early/2016/09/22/056630
Prioritizing 2nd and 3rd order interactions via support vector ranking using sensitivity indices on time series Wnt measurements - Part B,http://biorxiv.org/content/early/2016/09/22/060228
"Enhancing pre-defined workflows with ad hoc analytics using Galaxy, Docker and Jupyter",http://biorxiv.org/content/early/2016/09/22/075457
"Using RNA-seq for genomic scaffold placement, correcting assemblies, and genetic map creation in a common Brassica rapa mapping population.",http://biorxiv.org/content/early/2016/09/22/076745
Larger Numbers can Impede Adaptation in Microbial Populations despite Entailing Greater Genetic Variation,http://biorxiv.org/content/early/2016/09/22/076760
"EARLY INFLAMMATION, IMMUNOPATHOLOGY AND AGING",http://biorxiv.org/content/early/2016/09/22/076828
Insights into the binding mode of MEK type-III inhibitors. A step towards discovering and designing allosteric kinase inhibitors across the human kinome,http://biorxiv.org/content/early/2016/09/22/076711
Laurdan and di-4-ANEPPDHQ probe different properties of the membrane,http://biorxiv.org/content/early/2016/09/22/076752
A Whole-Brain Computational Modeling Approach to Explain the Alterations in Resting-State Functional Connectivity during Progression of Alzheimers Disease,http://biorxiv.org/content/early/2016/09/22/076851
Fast genome-wide functional annotation through orthology assignment by eggNOG-mapper,http://biorxiv.org/content/early/2016/09/22/076331
Temporal probabilistic modeling of bacterial compositions derived from 16S rRNA sequencing,http://biorxiv.org/content/early/2016/09/22/076836
Remote effect of Insecticide-treated nets and the personal protection against malaria mosquito bites,http://biorxiv.org/content/early/2016/09/22/073718
Dynamic forecasting of Zika epidemics using Google Trends,http://biorxiv.org/content/early/2016/09/22/076521
A global perspective of codon usage,http://biorxiv.org/content/early/2016/09/21/076679
PDGF signaling directs cardiomyocyte movement toward the midline during heart tube assembly,http://biorxiv.org/content/early/2016/09/21/076703
Genetic heterogeneity in depressive symptoms following the death of a spouse: Polygenic score analysis of the US Health and Retirement Study,http://biorxiv.org/content/early/2016/09/21/065847.1
Polymer physics of nuclear organization and function,http://biorxiv.org/content/early/2016/09/21/076661
Intraspecific variation shapes community-level behavioural responses to urbanisation in spiders: from traits to function,http://biorxiv.org/content/early/2016/09/21/076497
Cortical correlates of the auditory frequency-following and onset responses: EEG and fMRI evidence,http://biorxiv.org/content/early/2016/09/21/076448
Whole genome sequence analysis of Salmonella Typhi isolated in Thailand before and after the introduction of a national immunization program,http://biorxiv.org/content/early/2016/09/21/076422
GWAS for serum galactose-deficient IgA1 implicates critical genes of the O-glycosylation pathway,http://biorxiv.org/content/early/2016/09/21/076414
Temporal regulation of epithelium formation,http://biorxiv.org/content/early/2016/09/21/076570
Nuclear pore-like structures in a compartmentalized bacterium,http://biorxiv.org/content/early/2016/09/21/076430
Shared genetics and couple-associated environment are major contributors to the risk of both clinical and self-declared depression,http://biorxiv.org/content/early/2016/09/21/076398
Diverse roles of guanine nucleotide exchange factors in regulating collective cell migration,http://biorxiv.org/content/early/2016/09/21/076125
ATP homeostasis underlies optimal glucose consumption by Saccharomyces cerevisiae,http://biorxiv.org/content/early/2016/09/21/076364
shinyheatmap: ultra fast low memory heatmap software for big data genomics,http://biorxiv.org/content/early/2016/09/21/076463
Excitable RhoA dynamics drive pulsed contractions in the early C. elegans embryo.,http://biorxiv.org/content/early/2016/09/21/076356
How prior knowledge prepares perception: Prestimulus oscillations carry perceptual expectations and influence early visual responses.,http://biorxiv.org/content/early/2016/09/21/076687
The tubulin repertoire of C. elegans sensory neurons and its context dependent role in process outgrowth,http://biorxiv.org/content/early/2016/09/21/075879
Neural correlates of early sound encoding and their relationship to speech in noise perception,http://biorxiv.org/content/early/2016/09/21/076455
Alternative splicing changes as drivers of cancer,http://biorxiv.org/content/early/2016/09/21/076653
Probabilistic inference of bifurcations in single-cell data using a hierarchical mixture of factor analysers,http://biorxiv.org/content/early/2016/09/21/076547
Parasitic Infection by Pseudocapillaria tomentosa is Associated with a Longitudinal Restructuring of the Zebrafish Gut Microbiome,http://biorxiv.org/content/early/2016/09/21/076596
Data aggregation at the level of molecular pathways improves stability of experimental transcriptomic and proteomic data,http://biorxiv.org/content/early/2016/09/21/076620
Reading positional codes with fMRI: Problems and solutions,http://biorxiv.org/content/early/2016/09/21/076554
Performance Evaluation of Empirical Mode Decomposition Algorithms for Mental Task Classification,http://biorxiv.org/content/early/2016/09/21/076646
Frontal cortex function derives from hierarchical predictive coding,http://biorxiv.org/content/early/2016/09/21/076505
Seasonal influenza circulation patterns and projections for 2016-2017,http://biorxiv.org/content/early/2016/09/21/076638
"ATX-2, the C. elegans Ortholog of Human Ataxin-2, Regulates Centrosome Size and Microtubule Dynamics",http://biorxiv.org/content/early/2016/09/21/076604
In vitro profiling of endocrine cell death using UCHL1 and GAD65 as soluble biomarkers,http://biorxiv.org/content/early/2016/09/21/076513
Kinematic analysis of cell lineage reveals coherent and robust mechanical deformation patterns in zebrafish gastrulation,http://biorxiv.org/content/early/2016/09/21/054353
"Mapping eQTLs With RNA-Seq Reveals Novel SLE Susceptibility Genes, Non-Coding RNAs, and Alternative-Splicing Events That Are Concealed Using Microarrays",http://biorxiv.org/content/early/2016/09/21/076026
Distinguishing contemporary hybridization from past introgression with post-genomic ancestry-informative SNPs in strongly differentiated Ciona species,http://biorxiv.org/content/early/2016/09/21/030346
StereoGene: Rapid Estimation of Genomewide Correlation of Continuous or Interval Feature Data,http://biorxiv.org/content/early/2016/09/21/059584
A machine learning classifier trained on cancer transcriptomes detects NF1 inactivation signal in glioblastoma,http://biorxiv.org/content/early/2016/09/21/075382
The RNA-binding protein RBP10 controls a regulatory cascade that defines bloodstream-form trypanosome identity,http://biorxiv.org/content/early/2016/09/20/076273.1
The Melting Snowball: A Test of the Snowball Model Using RNA,http://biorxiv.org/content/early/2016/09/20/076232.1
MINT: A multivariate integrative method to identify reproducible molecular signatures across independent experiments and platforms,http://biorxiv.org/content/early/2016/09/20/070813
Deep-time parallel evolution of myrmecoid syndrome in rove beetle symbionts of army ants,http://biorxiv.org/content/early/2016/09/20/076315
Extraction of ultrashort DNA molecules from herbarium specimens,http://biorxiv.org/content/early/2016/09/20/076299
A comprehensive evaluation of multiband-accelerated sequences and their effects on statistical outcome measures in fMRI.,http://biorxiv.org/content/early/2016/09/20/076307
Translational control of gurken mRNA in Drosophila development,http://biorxiv.org/content/early/2016/09/20/076091
Multidimensional Heritability Analysis of Neuroanatomical Shape,http://biorxiv.org/content/early/2016/09/20/033407
Adipocyte JAK2 mediates hepatic insulin sensitivity and the diabetogenic action of Growth Hormone,http://biorxiv.org/content/early/2016/09/20/076265
DynOmics to identify delays and co-expression patterns across time course experiments,http://biorxiv.org/content/early/2016/09/20/076257
A critical review of the use and performance of different function types for modeling temperature-dependent development of arthropod larvae,http://biorxiv.org/content/early/2016/09/20/076182
Competition between IAV subtypes through heterosubtypic immunity modulates re-infection and antibody dynamics in the mallard reservoir,http://biorxiv.org/content/early/2016/09/20/063933
Using MinION nanopore sequencing to generate a de novo eukaryotic draft genome: preliminary physiological and genomic description of the extremophilic red alga Galdieria sulphuraria strain SAG 107.79,http://biorxiv.org/content/early/2016/09/20/076208
Heterozygous mutation to Chd8 causes macrocephaly and widespread alteration of neurodevelopmental transcriptional networks in mouse,http://biorxiv.org/content/early/2016/09/20/076158
Identification and Functional Characterization of Muscle Satellite Cells in Drosophila,http://biorxiv.org/content/early/2016/09/20/037838
Functional connectivity models for brain state identification: application to decoding of spatial representations from hippocampal CA1 and CA3 recordings,http://biorxiv.org/content/early/2016/09/20/073759
Selective constraints on coding sequences of nervous system genes are a major determinant of duplicate gene retention in vertebrates,http://biorxiv.org/content/early/2016/09/20/072959
Language-selective brain regions track linguistic input more closely than domain-general regions,http://biorxiv.org/content/early/2016/09/20/076240
Tracking single-cell gene regulation in dynamically controlled environments using an integrated microfluidic and computational setup,http://biorxiv.org/content/early/2016/09/20/076224
Dissection of the contribution of regulation mode to the properties of feedforward and feedback and gene regulatory motifs.,http://biorxiv.org/content/early/2016/09/20/065698
Estimating error models for whole genome sequencing using mixtures of Dirichlet-multinomial distributions,http://biorxiv.org/content/early/2016/09/20/031724
Genome-wide association study of HIV whole genome sequences validated using drug resistance,http://biorxiv.org/content/early/2016/09/20/076216
High throughput estimation of functional cell activities reveals disease mechanisms and predicts relevant clinical outcomes,http://biorxiv.org/content/early/2016/09/19/076083
Expression biomarkers used for the selective breeding of complex polygenic traits,http://biorxiv.org/content/early/2016/09/19/076174
Diffusion of lipids and GPI-anchored proteins in actin-free plasma membrane vesicles measured by STED-FCS,http://biorxiv.org/content/early/2016/09/19/076109
PTRNAmark: an all-atomic distance-dependent knowledge-based potential for 3D RNA structure evaluation,http://biorxiv.org/content/early/2016/09/19/076000
Correcting subtle stratification in summary association statistics,http://biorxiv.org/content/early/2016/09/19/076133
Towards an Open Data Framework for Body Sensor Networks Supporting Bluetooth Low Energy,http://biorxiv.org/content/early/2016/09/19/076166
De novo transcriptome assembly for the spiny mouse (Acomys cahirinus),http://biorxiv.org/content/early/2016/09/19/076067
GenomeScope: Fast reference-free genome profiling from short reads,http://biorxiv.org/content/early/2016/09/19/075978
Discovery of flavivirus-derived endogenous viral elements in two Anopheles mosquito genomes supports the existence of Anopheles-associated insect-specific flaviviruses,http://biorxiv.org/content/early/2016/09/19/064907
The FACT complex and cell cycle progression are essential to maintain asymmetric transcription factor partitioning during cell division,http://biorxiv.org/content/early/2016/09/19/075135
Multiple factors influence population sex ratios in the Mojave Desert moss Syntrichia caninervis,http://biorxiv.org/content/early/2016/09/19/075861
Genetic correlations with climate variables suggest Caenorhabditis elegans natural niche preferences,http://biorxiv.org/content/early/2016/09/19/075960
Massive influence of DNA isolation and library preparation approaches on palaeogenomic sequencing data,http://biorxiv.org/content/early/2016/09/19/075911
Clinically-weighted transcriptomic signatures for protein kinase inhibitor associated cardiotoxicity,http://biorxiv.org/content/early/2016/09/19/075754
Cortical dynamics of saccade-target selection during free-viewing of natural scenes,http://biorxiv.org/content/early/2016/09/19/075929
Low-frequency cortical oscillations are modulated by temporal prediction and temporal error coding,http://biorxiv.org/content/early/2016/09/19/076042
COMPARISON OF TWO DESCRIPTIONS OF HETEROGENEITY USED IN MODELLING PLANTS DYNAMICS,http://biorxiv.org/content/early/2016/09/19/075812
ROLE OF TOLERANCE TO RESOURCE DEMAND -- SUPPLY MISMATCH IN A MODEL OF ANNUAL PLANTS,http://biorxiv.org/content/early/2016/09/19/075804
